CandidateID,County,Votes
24167,COOK,77612
24168,COOK,76769
24169,COOK,77506
24170,COOK,84717
24171,COOK,52737
24172,COOK,65570
24173,COOK,57453
24174,COOK,60758
24175,COOK,101047
24176,SANGAMON,64900
24176,McLEAN,50713
24176,CHAMPAIGN,48600
24176,MACON,29616
24176,ADAMS,21377
24176,VERMILION,18950
24176,MACOUPIN,14161
24176,COLES,13381
24176,WOODFORD,13201
24176,LIVINGSTON,10403
24176,MORGAN,9726
24176,LOGAN,8509
24176,JERSEY,6599
24176,PIATT,6321
24176,DOUGLAS,5392
24176,DeWITT,5299
24176,PIKE,5231
24176,EDGAR,5079
24176,CLARK,4969
24176,MENARD,4334
24176,FORD,4276
24176,MOULTRIE,4160
24176,MASON,4065
24176,CUMBERLAND,3778
24176,CASS,3682
24176,GREENE,3398
24176,SCHUYLER,2426
24176,SCOTT,1652
24176,BROWN,1645
24176,CALHOUN,1561
24177,ST. CLAIR,55730
24177,MADISON,48399
24177,JACKSON,10567
24177,WILLIAMSON,9194
24177,MONROE,5763
24177,FRANKLIN,5139
24177,RANDOLPH,4970
24177,CHRISTIAN,4294
24177,CLINTON,4272
24177,MONTGOMERY,4202
24177,MARION,3991
24177,EFFINGHAM,3138
24177,JEFFERSON,3014
24177,PERRY,2957
24177,SALINE,2830
24177,UNION,2697
24177,BOND,2445
24177,SHELBY,2396
24177,FAYETTE,2038
24177,CRAWFORD,1971
24177,RICHLAND,1548
24177,WASHINGTON,1512
24177,MASSAC,1504
24177,WHITE,1407
24177,JOHNSON,1348
24177,LAWRENCE,1238
24177,JASPER,1202
24177,ALEXANDER,1116
24177,CLAY,1044
24177,WABASH,1018
24177,PULASKI,989
24177,WAYNE,894
24177,GALLATIN,815
24177,HAMILTON,793
24177,HARDIN,460
24177,POPE,438
24177,EDWARDS,390
24178,MADISON,52785
24178,ST. CLAIR,40630
24178,WILLIAMSON,17074
24178,JEFFERSON,10714
24178,EFFINGHAM,10665
24178,FRANKLIN,9653
24178,MONROE,9450
24178,CLINTON,9181
24178,JACKSON,9098
24178,MARION,8333
24178,CHRISTIAN,7973
24178,RANDOLPH,6684
24178,MONTGOMERY,6446
24178,SHELBY,6395
24178,SALINE,5996
24178,FAYETTE,5477
24178,PERRY,5157
24178,WAYNE,4819
24178,CRAWFORD,4758
24178,UNION,4478
24178,WHITE,4266
24178,WASHINGTON,4198
24178,RICHLAND,4191
24178,BOND,3804
24178,JOHNSON,3620
24178,MASSAC,3599
24178,CLAY,3549
24178,JASPER,2958
24178,WABASH,2909
24178,LAWRENCE,2825
24178,HAMILTON,2442
24178,EDWARDS,1943
24178,PULASKI,1337
24178,POPE,1252
24178,GALLATIN,1110
24178,HARDIN,1080
24178,ALEXANDER,997
24179,WILLIAMSON,14480
24180,WILLIAMSON,12270
24181,MADISON,45472
24181,BOND,3151
24182,MADISON,56572
24182,BOND,3186
24183,VERMILION,19232
24183,COLES,13293
24183,EDGAR,5061
24183,CLARK,4913
24183,CUMBERLAND,3734
24184,CHAMPAIGN,32427
24184,MACON,21866
24184,PIATT,5024
24184,DOUGLAS,4592
24184,DeWITT,4300
24184,MOULTRIE,3371
24185,CHAMPAIGN,43471
24185,MACON,15816
24185,PIATT,2458
24185,DeWITT,1710
24185,DOUGLAS,1605
24185,MOULTRIE,1490
24186,MOULTRIE,4295
24187,WILL,113325
24188,WILL,129097
24189,WHITESIDE,17196
24190,WINNEBAGO,46472
24190,BOONE,9988
24191,WINNEBAGO,48143
24191,BOONE,7798
24192,DuPAGE,176858
24193,DuPAGE,176470
24194,LAKE,181929
24195,LAKE,179072
24196,LAKE,18983
24197,McHENRY,80517
24198,BOND,5378
24199,CASS,2644
24200,CASS,1960
24201,ST. CLAIR,55199
24201,MONROE,5722
24201,RANDOLPH,4979
24201,PERRY,2966
24201,WASHINGTON,1618
24202,ST. CLAIR,41127
24202,MONROE,9472
24202,RANDOLPH,6714
24202,PERRY,5096
24202,WASHINGTON,4033
24203,KANKAKEE,29606
24203,IROQUOIS,9205
24204,COOK,1294541
24205,COOK,1284266
24207,MASSAC,4840
24208,WILL,114870
24209,WILL,126161
24210,JACKSON,10840
24210,WILLIAMSON,9958
24210,UNION,3963
24210,SALINE,2964
24210,MASSAC,1541
24210,JOHNSON,1468
24210,ALEXANDER,1311
24210,PULASKI,1105
24210,POPE,490
24211,WILLIAMSON,16804
24211,JACKSON,8921
24211,SALINE,6158
24211,MASSAC,3635
24211,JOHNSON,3585
24211,UNION,3548
24211,PULASKI,1248
24211,POPE,1200
24211,ALEXANDER,848
24212,COOK,76064
24213,COOK,133987
24214,COOK,85871
24215,COOK,87955
24216,COOK,80959
24217,COOK,53741
24218,COOK,71171
24219,COOK,64598
24220,COOK,54451
24221,COOK,48283
24222,COOK,48815
24223,COOK,85246
24224,ADAMS,21449
24224,PIKE,5246
24224,MENARD,4302
24224,MASON,4018
24224,CASS,3653
24224,SCHUYLER,2405
24224,BROWN,1634
24224,CALHOUN,1564
24225,BROWN,1761
24226,LEE,10538
24227,JACKSON,12076
24228,JACKSON,8025
24229,WINNEBAGO,44480
24229,BOONE,9808
24230,WINNEBAGO,50164
24230,BOONE,7974
24231,DuPAGE,193753
24232,DuPAGE,160469
24233,SHELBY,6080
24234,SHELBY,3132
24235,McLEAN,51374
24236,KANE,84894
24237,KANE,80135
24238,WILLIAMSON,16104
24238,JACKSON,9481
24238,SALINE,4744
24238,UNION,4484
24238,JOHNSON,3621
24238,MASSAC,3586
