CandidateID,County,Votes
19521,COOK,22562
19522,WINNEBAGO,61748
19522,BOONE,12634
19522,STEPHENSON,138
19522,McHENRY,2
19522,DeKALB,0
19523,CHAMPAIGN,39993
19523,FORD,3389
19523,IROQUOIS,807
19523,VERMILION,156
19523,McLEAN,19
19523,DOUGLAS,15
19523,LIVINGSTON,8
19523,PIATT,2
19523,EDGAR,1
19524,CRAWFORD,5239
19524,RICHLAND,3807
19524,JASPER,3086
19524,LAWRENCE,2901
19524,CLAY,2850
19524,CLARK,174
19524,WAYNE,147
19524,MARION,3
19524,CUMBERLAND,2
19524,EFFINGHAM,2
19525,JEFFERSON,8114
19525,CLINTON,6399
19525,MARION,5083
19525,WASHINGTON,3087
19525,FAYETTE,308
19525,BOND,59
19525,ST. CLAIR,1
19525,CLAY,0
19526,MARION,6766
19526,CLINTON,6171
19526,JEFFERSON,4246
19526,WASHINGTON,2412
19526,FAYETTE,322
19526,BOND,65
19526,CLAY,0
19526,ST. CLAIR,0
19527,KENDALL,24700
19527,GRUNDY,14088
19527,WILL,2108
19527,KANE,326
19528,ST. CLAIR,34024
19528,WILLIAMSON,13938
19528,MADISON,11644
19528,JACKSON,9188
19528,FRANKLIN,7851
19528,MONROE,7749
19528,JEFFERSON,7616
19528,RANDOLPH,6539
19528,PERRY,4889
19528,UNION,4328
19528,PULASKI,1307
19528,ALEXANDER,965
19529,ST. CLAIR,38426
19529,MADISON,14365
19529,JACKSON,6153
19529,WILLIAMSON,5668
19529,FRANKLIN,4327
19529,MONROE,4216
19529,RANDOLPH,4190
19529,JEFFERSON,4071
19529,PERRY,2278
19529,UNION,1763
19529,ALEXANDER,1241
19529,PULASKI,1162
19530,ST. CLAIR,4131
19530,MADISON,2488
19530,WILLIAMSON,1065
19530,JACKSON,1003
19530,JEFFERSON,714
19530,FRANKLIN,639
19530,MONROE,583
19530,RANDOLPH,533
19530,PERRY,217
19530,UNION,209
19530,PULASKI,132
19530,ALEXANDER,126
19531,COOK,25512
19532,COOK,47152
19533,COOK,45975
19534,MACON,20786
19534,MADISON,19026
19534,CHAMPAIGN,17917
19534,SANGAMON,16588
19534,MACOUPIN,9195
19534,CHRISTIAN,8953
19534,McLEAN,6312
19534,MONTGOMERY,5660
19534,JERSEY,5167
19534,PIATT,5007
19534,DeWITT,3874
19534,GREENE,2835
19534,CALHOUN,1143
19534,BOND,874
19535,CHAMPAIGN,20451
19535,MADISON,13710
19535,SANGAMON,13173
19535,MACON,12588
19535,MACOUPIN,6389
19535,McLEAN,5644
19535,MONTGOMERY,3047
19535,JERSEY,2813
19535,CHRISTIAN,2745
19535,PIATT,2016
19535,DeWITT,1559
19535,GREENE,1443
19535,CALHOUN,812
19535,BOND,545
19536,COOK,22632
19537,COOK,65243
19538,COOK,77602
19539,COOK,77787
19540,McHENRY,41850
19540,KANE,40470
19540,LAKE,19435
19540,WILL,18054
19540,KENDALL,15458
19540,DeKALB,7341
19540,DuPAGE,2761
19541,McHENRY,22624
19541,KANE,18985
19541,LAKE,11557
19541,WILL,10059
19541,KENDALL,7391
19541,DeKALB,4178
19541,DuPAGE,2067
19542,COOK,3498
19543,COOK,23456
19544,VERMILION,14398
19544,MADISON,12933
19544,CHAMPAIGN,11845
19544,COLES,10209
19544,CLINTON,10115
19544,EFFINGHAM,9827
19544,MARION,8741
19544,SHELBY,5990
19544,SALINE,5689
19544,FAYETTE,4965
19544,WAYNE,4845
19544,DOUGLAS,4698
19544,WASHINGTON,4561
19544,CRAWFORD,4504
19544,WHITE,4369
19544,EDGAR,4322
19544,CLARK,3802
19544,RICHLAND,3798
19544,JOHNSON,3563
19544,MOULTRIE,3423
19544,MASSAC,3156
19544,CLAY,3099
19544,JASPER,3036
19544,WABASH,2928
19544,CUMBERLAND,2913
19544,LAWRENCE,2908
19544,BOND,2384
19544,HAMILTON,2357
19544,EDWARDS,1916
19544,FORD,1495
