CandidateID,CanFirstName,CanLastName,PartyName,OfficeName
15694,RICH,BRAUER,REPUBLICAN,100TH REPRESENTATIVE
15695,BOB,FLIDER,DEMOCRATIC,101ST REPRESENTATIVE
15697,MARK STEVEN,KIRK,REPUBLICAN,UNITED STATES SENATOR
15698,"ALEXANDER ""ALEXI""",GIANNOULIAS,DEMOCRATIC,UNITED STATES SENATOR
15699,LeALAN M.,JONES,GREEN,UNITED STATES SENATOR
15700,DANIEL JAMES,PIERCE,DEMOCRATIC,COOK CIRCUIT - 14TH SUBCIRCUIT - A VACANCY
15701,WILLIAM A.,MUDGE,DEMOCRATIC,3RD CIRCUIT - STACK VACANCY
15702,WILLIAM E.,PONCIN,REPUBLICAN,9TH CIRCUIT - HENDERSON VACANCY
15703,THOMAS L.,DOHERTY,REPUBLICAN,16TH CIRCUIT- DeKALB COUNTY - A VACANCY
15704,T. JORDAN,GALLAGHER,DEMOCRATIC,16TH CIRCUIT- DeKALB COUNTY - A VACANCY
15705,DAVID R.,AKEMANN,REPUBLICAN,16TH CIRCUIT- KANE COUNTY - A VACANCY
15706,JOHN G.,DALTON,DEMOCRATIC,16TH CIRCUIT- KANE COUNTY - A VACANCY
15707,ROBERT P. (BOB),PILMER,REPUBLICAN,16TH CIRCUIT- KENDALL COUNTY - A VACANCY
15708,WALLACE B.,DUNN,REPUBLICAN,19TH CIRCUIT- 4TH SUBCIRCUIT - A VACANCY
15709,MARK L.,LEVITT,DEMOCRATIC,19TH CIRCUIT- 4TH SUBCIRCUIT - A VACANCY
15710,GORDON E.,GRAHAM,REPUBLICAN,22ND CIRCUIT-  A VACANCY
15711,ROBERT B.,HAIDA,DEMOCRATIC,20TH CIRCUIT- YOUNG VACANCY
15712,MICHAEL N.,COOK,DEMOCRATIC,20TH CIRCUIT- ECKERT VACANCY
15713,BONITA,COLEMAN-JOHN,DEMOCRATIC,COOK CIRCUIT - 1ST SUBCIRCUIT - A VACANCY
15714,STEVEN R.,BORDNER,REPUBLICAN,9TH CIRCUIT - MATHERS VACANCY
15715,JAMES H.,HARRELL,DEMOCRATIC,9TH CIRCUIT - MATHERS VACANCY
15716,RON,STEPHENS,REPUBLICAN,102ND REPRESENTATIVE
15717,NORMAN E.,DAVIS,REPUBLICAN,103RD REPRESENTATIVE
