CandidateID,County,Votes
15694,SANGAMON,32318
15694,MENARD,4085
15694,LOGAN,4071
15695,MACON,12464
15695,MOULTRIE,1893
15695,SHELBY,983
15697,COOK,442029
15697,DuPAGE,163875
15697,LAKE,114971
15697,WILL,100616
15697,KANE,70621
15697,McHENRY,55831
15697,WINNEBAGO,44622
15697,MADISON,44152
15697,SANGAMON,42169
15697,ST. CLAIR,38185
15697,McLEAN,32958
15697,CHAMPAIGN,29321
15697,TAZEWELL,28825
15697,PEORIA,28797
15697,ROCK ISLAND,23249
15697,MACON,21072
15697,LaSALLE,18278
15697,KANKAKEE,18277
15697,KENDALL,17633
15697,ADAMS,17525
15697,DeKALB,15389
15697,VERMILION,14078
15697,WILLIAMSON,13197
15697,OGLE,11184
15697,HENRY,11034
15697,WHITESIDE,10473
15697,WOODFORD,10022
15697,COLES,9629
15697,EFFINGHAM,9518
15697,GRUNDY,9418
15697,KNOX,9389
15697,BOONE,9029
15697,MACOUPIN,8823
15697,STEPHENSON,8711
15697,CLINTON,8623
15697,LIVINGSTON,8575
15697,MONROE,7854
15697,IROQUOIS,7763
15697,JEFFERSON,7580
15697,BUREAU,7452
15697,JACKSON,7436
15697,CHRISTIAN,7072
15697,MARION,7071
15697,LEE,6869
15697,MORGAN,6818
15697,FRANKLIN,6636
15697,RANDOLPH,6168
15697,LOGAN,6105
15697,FULTON,5761
15697,McDONOUGH,5656
15697,MONTGOMERY,5427
15697,SHELBY,5401
15697,WAYNE,4922
15697,JoDAVIESS,4859
15697,CRAWFORD,4724
15697,EDGAR,4699
15697,HANCOCK,4647
15697,DOUGLAS,4624
15697,PIATT,4582
15697,FAYETTE,4571
15697,JERSEY,4569
15697,SALINE,4528
15697,CLARK,4125
15697,PIKE,4067
15697,PERRY,3960
15697,WASHINGTON,3833
15697,MERCER,3806
15697,DeWITT,3791
15697,UNION,3658
15697,WARREN,3654
15697,RICHLAND,3501
15697,FORD,3441
15697,WHITE,3407
15697,CARROLL,3290
15697,CLAY,3256
15697,BOND,3219
15697,LAWRENCE,3198
15697,MENARD,3190
15697,MOULTRIE,3189
15697,MASSAC,3129
15697,JOHNSON,3094
15697,CUMBERLAND,2916
15697,MASON,2753
15697,MARSHALL,2679
15697,WABASH,2645
15697,JASPER,2606
15697,GREENE,2591
15697,CASS,2305
15697,HAMILTON,1910
15697,HENDERSON,1837
15697,SCHUYLER,1830
15697,EDWARDS,1685
15697,PULASKI,1429
15697,BROWN,1411
15697,STARK,1250
15697,POPE,1242
15697,PUTNAM,1241
15697,SCOTT,1203
15697,ALEXANDER,1179
15697,CALHOUN,1140
15697,HARDIN,1133
15697,GALLATIN,1013
15698,COOK,898751
15698,DuPAGE,106429
15698,WILL,78787
15698,LAKE,78569
15698,KANE,47486
15698,ST. CLAIR,38512
15698,MADISON,32575
15698,McHENRY,30889
15698,WINNEBAGO,29144
15698,SANGAMON,25248
15698,ROCK ISLAND,20445
15698,CHAMPAIGN,20205
15698,PEORIA,19751
15698,McLEAN,15448
15698,MACON,12938
15698,LaSALLE,12826
15698,TAZEWELL,12765
15698,KANKAKEE,12037
15698,KENDALL,10797
15698,DeKALB,10633
15698,JACKSON,7443
15698,WILLIAMSON,7320
15698,WHITESIDE,7005
15698,VERMILION,6309
15698,MACOUPIN,6182
15698,KNOX,6081
15698,GRUNDY,5814
15698,HENRY,5653
15698,FRANKLIN,5222
15698,ADAMS,5124
15698,FULTON,4612
15698,BOONE,4408
15698,RANDOLPH,4358
15698,OGLE,4261
15698,BUREAU,4180
15698,STEPHENSON,4174
15698,CHRISTIAN,4037
15698,COLES,3985
15698,MARION,3966
15698,JEFFERSON,3799
15698,MONROE,3536
