Household Income,Population,Median Age,Per Capita Income,Poverty Count,county_id,census_year,county
35644.0,25171.0,41.8,20903.0,4481.0,165,2010,Saline
52232.0,195288.0,39.0,28394.0,25691.0,167,2010,Sangamon
43686.0,7527.0,42.6,20649.0,1024.0,169,2010,Schuyler
49462.0,5374.0,42.5,27530.0,484.0,171,2010,Scott
44627.0,22362.0,43.1,21891.0,2474.0,173,2010,Shelby
49195.0,6086.0,41.6,25311.0,665.0,175,2010,Stark
43304.0,47791.0,43.0,22608.0,6980.0,177,2010,Stephenson
54232.0,133863.0,39.5,27036.0,10310.0,179,2010,Tazewell
39760.0,17959.0,43.0,19512.0,3686.0,181,2010,Union
39456.0,82033.0,39.1,20218.0,15043.0,183,2010,Vermilion
46026.0,12141.0,40.9,23350.0,1562.0,185,2010,Wabash
41636.0,17745.0,39.9,20047.0,2216.0,187,2010,Warren
51440.0,14841.0,41.8,24846.0,1343.0,189,2010,Washington
39207.0,16846.0,42.6,21493.0,2396.0,191,2010,Wayne
39728.0,14800.0,44.4,22081.0,2129.0,193,2010,White
45266.0,58750.0,41.2,23405.0,6430.0,195,2010,Whiteside
75906.0,667977.0,34.9,29811.0,43442.0,197,2010,Will
40579.0,65579.0,40.2,22164.0,10617.0,199,2010,Williamson
47198.0,293972.0,37.9,24008.0,45855.0,201,2010,Winnebago
65890.0,38226.0,39.4,29475.0,2590.0,203,2010,Woodford
53912.0,267937.0,39.2,28093.0,36365.0,119,2014,Madison
51259.0,16204.0,44.3,26739.0,1736.0,131,2014,Mercer
55565.0,198808.0,39.7,30594.0,29045.0,167,2014,Sangamon
48901.0,33091.0,41.6,22771.0,3656.0,157,2014,Randolph
55894.0,52782.0,41.1,27337.0,5734.0,141,2014,Ogle
44631.0,47053.0,44.2,23686.0,7126.0,177,2014,Stephenson
45347.0,14549.0,44.7,26388.0,2035.0,193,2014,White
48438.0,7074.0,49.1,27132.0,759.0,071,2014,Henderson
61955.0,172390.0,32.4,30728.0,24173.0,113,2014,McLean
38740.0,16244.0,42.6,20925.0,2393.0,149,2014,Pike
48226.0,146964.0,40.1,26257.0,20658.0,161,2014,Rock
48679.0,11730.0,43.3,24493.0,1549.0,185,2014,Wabash
43825.0,10950.0,41.2,22631.0,1592.0,035,2014,Cumberland
70514.0,521874.0,35.5,30645.0,59471.0,089,2014,Kane
45463.0,6878.0,37.3,20518.0,521.0,009,2014,Brown
53914.0,12319.0,45.8,26399.0,1377.0,123,2014,Marshall
45727.0,34415.0,41.9,24016.0,4809.0,021,2014,Christian
32681.0,60125.0,29.5,20729.0,17906.0,077,2014,Jackson
41849.0,17620.0,43.5,22430.0,3118.0,181,2014,Union
38772.0,24876.0,42.0,21295.0,5125.0,165,2014,Saline
48343.0,57680.0,42.4,24815.0,6745.0,195,2014,Whiteside
53771.0,104919.0,29.8,23903.0,18496.0,037,2014,DeKalb
54133.0,9658.0,43.1,25063.0,628.0,079,2014,Jasper
76142.0,682108.0,36.2,30791.0,55275.0,197,2014,Will
51701.0,19867.0,38.3,24330.0,2193.0,041,2014,Douglas
43178.0,13677.0,42.4,22483.0,2041.0,061,2014,Greene
38170.0,4226.0,46.9,21901.0,1056.0,069,2014,Hardin
